rewrite,nbre_car
cuiry-les-iviers,16,Cuiry-lès-Iviers
cuissy-et-geny,14,Cuissy-et-Geny
cuisy-en-almont,15,Cuisy-en-Almont
cutry,5,Cutry
cys-la-commune,14,Cys-la-Commune
dagny-lambercy,14,Dagny-Lambercy
dallon,6,Dallon
dammard,7,Dammard
dampleux,8,Dampleux
danizy,6,Danizy
dercy,5,Dercy
deuillet,8,Deuillet
dhuizel,7,Dhuizel
dizy-le-gros,12,Dizy-le-Gros
dohis,5,Dohis
dolignon,8,Dolignon
dommiers,8,Dommiers
domptin,7,Domptin
dorengt,7,Dorengt
douchy,6,Douchy
dravegny,8,Dravegny
droizy,6,Droizy
dury,4,Dury
ebouleau,8,Ebouleau
effry,5,Effry
englancourt,11,Englancourt
epagny,6,Epagny
eparcy,6,Eparcy
epaux-bezu,10,Epaux-Bézu
epieds,6,Epieds
eppes,5,Eppes
erlon,5,Erlon
erloy,5,Erloy
esqueheries,11,Esquéhéries
essigny-le-grand,16,Essigny-le-Grand
essigny-le-petit,16,Essigny-le-Petit
essises,7,Essises
essomes-sur-marne,17,Essômes-sur-Marne
estrees,7,Estrées
etampes-sur-marne,17,Etampes-sur-Marne
etaves-et-bocquiaux,19,Etaves-et-Bocquiaux
etouvelles,10,Etouvelles
etreaupont,10,Etréaupont
etreillers,10,Etreillers
etrepilly,9,Etrépilly
etreux,6,Etreux
evergnicourt,12,Evergnicourt
faucoucourt,11,Faucoucourt
faverolles,10,Faverolles
fayet,5,Fayet
fere-en-tardenois,17,Fère-en-Tardenois
fesmy-le-sart,13,Fesmy-le-Sart
festieux,8,Festieux
fieulaine,9,Fieulaine
filain,6,Filain
flavigny-le-grand-et-beaurain,29,Flavigny-le-Grand-et-Beaurain
flavy-le-martel,15,Flavy-le-Martel
fleury,6,Fleury
fluquieres,10,Fluquières
folembray,9,Folembray
fonsomme,8,Fonsomme
fontaine-les-clercs,19,Fontaine-lès-Clercs
fontaine-les-vervins,20,Fontaine-lès-Vervins
fontaine-notre-dame,19,Fontaine-Notre-Dame
fontaine-uterte,15,Fontaine-Uterte
fontenelle,10,Fontenelle
fontenelle-en-brie,18,Fontenelle-en-Brie
fontenoy,8,Fontenoy
foreste,7,Foreste
fossoy,6,Fossoy
fourdrain,9,Fourdrain
francilly-selency,17,Francilly-Selency
franqueville,12,Franqueville
fresnes,7,Fresnes
fresnes-en-tardenois,20,Fresnes-en-Tardenois
fresnoy-le-grand,16,Fresnoy-le-Grand
fressancourt,12,Fressancourt
frieres-faillouel,17,Frières-Faillouël
froidestrees,12,Froidestrées
froidmont-cohartille,20,Froidmont-Cohartille
gandelu,7,Gandelu
gauchy,6,Gauchy
gercy,5,Gercy
gergny,6,Gergny
germaine,8,Germaine
gernicourt,10,Gernicourt
gibercourt,10,Gibercourt
gizy,4,Gizy
gland,5,Gland
glennes,7,Glennes
goudelancourt-les-berrieux,26,Goudelancourt-lès-Berrieux
goudelancourt-les-pierrepont,28,Goudelancourt-lès-Pierrepont
goussancourt,12,Goussancourt
gouy,4,Gouy
grand-rozoy,11,Grand-Rozoy
grand-verly,11,Grand-Verly
grandlup-et-fay,15,Grandlup-et-Fay
grandrieux,10,Grandrieux
gricourt,8,Gricourt
grisolles,9,Grisolles
gronard,7,Gronard
grougis,7,Grougis
grugies,7,Grugies
guignicourt,11,Guignicourt
guise,5,Guise
guivry,6,Guivry
guny,4,Guny
guyencourt,10,Guyencourt
hannapes,8,Hannapes
happencourt,11,Happencourt
haramont,8,Haramont
harcigny,8,Harcigny
hargicourt,10,Hargicourt
harly,5,Harly
hartennes-et-taux,17,Hartennes-et-Taux
hary,4,Hary
hautevesnes,11,Hautevesnes
hauteville,10,Hauteville
haution,7,Haution
hinacourt,9,Hinacourt
hirson,6,Hirson
holnon,6,Holnon
homblieres,10,Homblières
houry,5,Houry
housset,7,Housset
iron,4,Iron
itancourt,9,Itancourt
iviers,6,Iviers
jaulgonne,9,Jaulgonne
jeancourt,9,Jeancourt
jeantes,7,Jeantes
joncourt,8,Joncourt
jouaignes,9,Jouaignes
jumencourt,10,Jumencourt
jumigny,7,Jumigny
jussy,5,Jussy
juvigny,7,Juvigny
juvincourt-et-damary,20,Juvincourt-et-Damary
l-epine-aux-bois,16,L'Epine-aux-Bois
la-bouteille,12,"La Bouteille"
la-capelle,10,"La Capelle"
la-celle-sous-montmirail,24,"La Celle-sous-Montmirail"
la-chapelle-monthodon,21,"La Chapelle-Monthodon"
la-chapelle-sur-chezy,21,"La Chapelle-sur-Chézy"
la-croix-sur-ourcq,18,"La Croix-sur-Ourcq"
la-fere,7,"La Fère"
la-ferte-chevresis,18,"La Ferté-Chevresis"
la-ferte-milon,14,"La Ferté-Milon"
la-flamengrie,13,"La Flamengrie"
la-herie,8,"La Hérie"
la-malmaison,12,"La Malmaison"
la-neuville-bosmont,19,"La Neuville-Bosmont"
la-neuville-en-beine,20,"La Neuville-en-Beine"
la-neuville-housset,19,"La Neuville-Housset"
la-neuville-les-dorengt,23,"La Neuville-lès-Dorengt"
la-selve,8,"La Selve"
la-vallee-au-ble,16,"La Vallée-au-Blé"
la-vallee-mulatre,17,"La Vallée-Mulâtre"
la-ville-aux-bois-les-dizy,26,"La Ville-aux-Bois-lès-Dizy"
la-ville-aux-bois-les-pontavert,31,"La Ville-aux-Bois-lès-Pontavert"
laffaux,7,Laffaux
laigny,6,Laigny
lanchy,6,Lanchy
landifay-et-bertaignemont,25,Landifay-et-Bertaignemont
