rewrite,gentile_f_ville,nbre_car
sequehartoise,Sequehartoise,13
serainoise,Serainoise,10
seraucourtoise,Seraucourtoise,14
serchoise,Serchoise,9
sermoisienne,Sermoisienne,12
serysienne,Sérysienne,10
sincenoise,Sincenoise,10
sissonnaise,Sissonnaise,11
sissiaquoise,Sissiaquoise,12
soissonnaise,Soissonnaise,12
sorbaisienne,Sorbaisienne,12
sulceenne,Sulcéenne,9
taveloise,Taveloise,9
ternoise,Ternoise,8
thenelloise,Thenelloise,11
toulisienne,Toulisienne,11
travecyenne,Travecyenne,11
trefconnaise,Trefconnaise,12
trucyenne,Trucyenne,9
tupignienne,Tupignienne,11
urceloise,Urceloise,9
urvilloise,Urvilloise,10
vadencourtoise,Vadencourtoise,14
vaillysienne,Vaillysienne,12
variscourtoise,Variscourtoise,14
vassognaise,Vassognaise,11
vaucelloise,Vaucelloise,11
vaudessonnaise,Vaudessonnaise,14
vauxoise,Vauxoise,8
vauxaillonnaise,Vauxaillonnaise,15
vauxbuinoise,Vauxbuinoise,12
malresienne,Malrésienne,11
vendelloise,Vendelloise,11
vendeuilloise,Vendeuilloise,13
vendolesienne,Vendolésienne,13
vendressoise,Vendressoise,12
venerollaise,Vénérollaise,12
venizelloise,Venizelloise,12
verdillate,Verdillate,10
vermandoise,Vermandoise,11
verneuilloise,Verneuilloise,13
versignienne,Versignienne,12
vervinoise,Vervinoise,10
vesloise,Vesloise,8
vezaponienne,Vézaponienne,12
vicoise,Vicoise,7
vicheloise,Vicheloise,10
vieux-montoise,Vieux-Montoise,14
vierzoise,Vierzoise,9
viffortoise,Viffortoise,11
villemontoirienne,Villemontoirienne,17
villeneuvoise,Villeneuvoise,13
genlisienne,Genlisienne,11
villeretoise,Villeretoise,12
cotterezienne,Cotterézienne,13
villeroise,Villeroise,10
villeroise,Villeroise,10
villieroise,Villiéroise,11
viroise,Viroise,7
vivaisoise,Vivaisoise,10
vivieroise,Viviéroise,10
vorgienne,Vorgienne,9
voulpaisienne,Voulpaisienne,13
voyennaise,Voyennaise,10
vregnysienne,Vregnysienne,12
wassignienne,Wassignienne,12
wimyenne,Wimyenne,8
wissignicourtoise,Wissignicourtoise,17
abrestoise,Abrestoise,10
agongeoise,Agongeoise,10
castelainaisienne,Castelainaisienne,17
andelarochoise,Andelarochoise,14
archignacoise,Archignacoise,13
arfeuillate,Arfeuillate,11
arpheuillaise,Arpheuillaise,13
arronnaise,Arronnaise,10
audoise,Audoise,7
auroueroise,Aurouëroise,11
issardienne,Issardienne,11
avermoise,Avermoise,9
avrilloise,Avrilloise,10
bagnolaise,Bagnolaise,10
barraisienne,Barraisienne,12
bayetoise,Bayétoise,9
beaulonnaise,Beaulonnaise,12
beaunoise,Beaunoise,9
beguoise,Béguoise,8
bellenavoise,Bellenavoise,12
bellerivoise,Bellerivoise,12
bertoise,Bertoise,8
bessaytoise,Bessaytoise,11
bessonnaise,Bessonnaise,11
bezenetoise,Bézenétoise,11
billezoissienne,Billezoissienne,15
