rewrite,gentile_f_ville
lourouziennes-bourbonnaise,"Lourouziennes Bourbonnaise"
lurobelnacienne,Lurobelnacienne
lourousienne,Lourousienne
lourousienne,Lourousienne
lunettoise,Lunettoise
lurcyquoise,Lurcyquoise
lusignoise,Lusignoise
magnetoise,Magnétoise
mailletoise,Mailletoise
malicornoise,Malicornoise
marcenatoise,Marcenatoise
marcillatoise,Marcillatoise
marignissoise,Marignissoise
mariolaise,Mariolaise
mazeroise,Mazeroise
maziratoise,Maziratoise
meaulnoise,Meaulnoise
meilleroise,Meilleroise
mercycoise,Mercycoise
mesploise,Mesploise
molinetoise,Molinetoise
molloise,Molloise
monestiere,Monestière
monetoise,Monétoise
montacutine,Montacutine
montbeunoise,Montbeunoise
montcombrouxoise,Montcombrouxoise
monteignetoise,Monteignétoise
montillyssoise,Montillyssoise
montluconnaise,Montluçonnaise
montmaraultoise,Montmaraultoise
montoldroise,Montoldroise
montoroise,Montoroise
montvicquoise,Montvicquoise
